record_id,month_year,fiscal_year,state,zone,sector,fraud_prone_sector,gstr1_declared_sales,gstr3b_tax_paid,itc_claimed,itc_rate_pct,mismatch_pct,fraud_flag,fraud_score,is_fraud,fraud_type
1,Apr-2021,FY2021-22,Maharashtra,West,Iron & Steel,1,3218138647,570617359.0,1798493187,55.89,-6.86,NORMAL,10,0,NONE
2,May-2021,FY2021-22,Maharashtra,West,Iron & Steel,1,3407833753,549497875.0,2083487505,61.14,1.9,NORMAL,10,0,NONE
3,Jun-2021,FY2021-22,Maharashtra,West,Iron & Steel,1,3915271113,677127762.0,1925653809,49.18,-18.03,NORMAL,10,0,NONE
4,Jul-2021,FY2021-22,Maharashtra,West,Iron & Steel,1,3439081141,569774446.0,1900276674,55.26,-7.91,NORMAL,10,0,NONE
5,Aug-2021,FY2021-22,Maharashtra,West,Iron & Steel,1,3722417321,615844630.0,1709446201,45.92,-23.46,NORMAL,10,0,NONE
6,Sep-2021,FY2021-22,Maharashtra,West,Iron & Steel,1,3647652501,614298457.0,1965555205,53.89,-10.19,NORMAL,10,0,NONE
7,Oct-2021,FY2021-22,Maharashtra,West,Iron & Steel,1,3457628112,585916590.0,1685030238,48.73,-18.78,NORMAL,10,0,NONE
8,Nov-2021,FY2021-22,Maharashtra,West,Iron & Steel,1,3424397501,552598205.0,1803477283,52.67,-12.22,NORMAL,10,0,NONE
9,Dec-2021,FY2021-22,Maharashtra,West,Iron & Steel,1,4763902569,832497463.0,2305546284,48.4,-19.34,NORMAL,10,0,NONE
10,Jan-2022,FY2021-22,Maharashtra,West,Iron & Steel,1,3731773843,606027713.0,1875210292,50.25,-16.25,NORMAL,10,0,NONE
11,Feb-2022,FY2021-22,Maharashtra,West,Iron & Steel,1,3269202914,577235859.0,1861329489,56.94,-5.11,NORMAL,10,0,NONE
12,Mar-2022,FY2021-22,Maharashtra,West,Iron & Steel,1,4510995502,767053216.0,2015284448,44.67,-25.54,NORMAL,10,0,NONE
13,Apr-2022,FY2022-23,Maharashtra,West,Iron & Steel,1,4272897774,744135363.0,3850978285,90.13,50.21,HIGH_RISK,55,1,itc_inflation
14,May-2022,FY2022-23,Maharashtra,West,Iron & Steel,1,4032981766,674299191.0,2138618028,53.03,-11.62,NORMAL,10,0,NONE
15,Jun-2022,FY2022-23,Maharashtra,West,Iron & Steel,1,4675732052,779077768.0,2527780690,54.06,-9.9,NORMAL,10,0,NONE
16,Jul-2022,FY2022-23,Maharashtra,West,Iron & Steel,1,4641845105,749852532.0,1922733896,41.42,-30.96,NORMAL,30,0,NONE
17,Aug-2022,FY2022-23,Maharashtra,West,Iron & Steel,1,4603602121,753963603.0,2678651798,58.19,-3.02,NORMAL,10,0,NONE
18,Sep-2022,FY2022-23,Maharashtra,West,Iron & Steel,1,13213759596,618637013.0,10918869458,82.63,37.72,MEDIUM_RISK,42,1,circular_trading
19,Oct-2022,FY2022-23,Maharashtra,West,Iron & Steel,1,3698751302,613244391.0,2185159319,59.08,-1.54,NORMAL,10,0,NONE
20,Nov-2022,FY2022-23,Maharashtra,West,Iron & Steel,1,3041183990,801390714.0,2214194025,72.81,21.34,MEDIUM_RISK,22,1,sales_suppression
21,Dec-2022,FY2022-23,Maharashtra,West,Iron & Steel,1,4767662598,829942353.0,3443862794,72.23,20.39,MEDIUM_RISK,22,0,NONE
22,Jan-2023,FY2022-23,Maharashtra,West,Iron & Steel,1,1929378980,591827407.0,1696460042,87.93,46.55,HIGH_RISK,55,1,sales_suppression
23,Feb-2023,FY2022-23,Maharashtra,West,Iron & Steel,1,4266943058,753269898.0,2081990916,48.79,-18.68,NORMAL,10,0,NONE
24,Mar-2023,FY2022-23,Maharashtra,West,Iron & Steel,1,4613480807,745472241.0,1985165879,43.03,-28.28,NORMAL,10,0,NONE
25,Apr-2023,FY2023-24,Maharashtra,West,Iron & Steel,1,3725130122,659104251.0,2049145281,55.01,-8.32,NORMAL,10,0,NONE
26,May-2023,FY2023-24,Maharashtra,West,Iron & Steel,1,5141270848,840897320.0,3030733917,58.95,-1.75,NORMAL,10,0,NONE
27,Jun-2023,FY2023-24,Maharashtra,West,Iron & Steel,1,4767614193,833063930.0,5152554513,108.07,80.12,CRITICAL,70,1,itc_inflation
28,Jul-2023,FY2023-24,Maharashtra,West,Iron & Steel,1,2861317042,906848221.0,2892465832,101.09,68.48,CRITICAL,70,1,sales_suppression
29,Aug-2023,FY2023-24,Maharashtra,West,Iron & Steel,1,4319171601,701250234.0,2363347816,54.72,-8.8,NORMAL,10,0,NONE
30,Sep-2023,FY2023-24,Maharashtra,West,Iron & Steel,1,4738562423,819081086.0,2416839061,51.0,-14.99,NORMAL,10,0,NONE
31,Oct-2023,FY2023-24,Maharashtra,West,Iron & Steel,1,5378911152,954886099.0,2791046811,51.89,-13.52,NORMAL,10,0,NONE
32,Nov-2023,FY2023-24,Maharashtra,West,Iron & Steel,1,4407850523,709064312.0,1849488779,41.96,-30.07,NORMAL,30,0,NONE
33,Dec-2023,FY2023-24,Maharashtra,West,Iron & Steel,1,5187365774,835822701.0,2846127318,54.87,-8.56,NORMAL,10,0,NONE
34,Jan-2024,FY2023-24,Maharashtra,West,Iron & Steel,1,4210023391,711536683.0,2123781164,50.45,-15.92,NORMAL,10,0,NONE
35,Feb-2024,FY2023-24,Maharashtra,West,Iron & Steel,1,4347369332,749044953.0,2058391708,47.35,-21.09,NORMAL,10,0,NONE
36,Mar-2024,FY2023-24,Maharashtra,West,Iron & Steel,1,5339615919,916179335.0,3024296791,56.64,-5.6,NORMAL,10,0,NONE
37,Apr-2021,FY2021-22,Maharashtra,West,Textile & Apparel,1,3379889163,546951293.0,1404207826,41.55,-30.76,NORMAL,30,0,NONE
38,May-2021,FY2021-22,Maharashtra,West,Textile & Apparel,1,3276483661,559741602.0,1686148552,51.46,-14.23,NORMAL,10,0,NONE
